"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TBWLWLXA","journalArticle","2020","Zhu, Hongyi; Samtani, Sagar; Chen, Hsinchun; Nunamaker, Jay F.","Human Identification for Activities of Daily Living: A Deep Transfer Learning Approach","Journal of Management Information Systems","","0742-1222, 1557-928X","10.1080/07421222.2020.1759961","https://www.tandfonline.com/doi/full/10.1080/07421222.2020.1759961","Sensor-based home Activities of Daily Living (ADLs) monitoring systems have emerged to monitor elderly people’s self-care ability remotely. However, the unobtrusive, privacy-friendly object motion sensor-based systems face challenges such as scarce labeled data and ADL performer confusion in a multi-resident setting. This study adopts the design science paradigm to develop an innovative deep transfer learning framework for human identiﬁcation (DTL-HID) to address both challenges. A novel convolutional neural network (CNN) is proposed to automatically extract comprehensive temporal and cross-axial motion patterns for the DTL-HID framework. We rigorously evaluate the DTL-HID framework against state-of-the-art benchmarks (e.g., k Nearest Neighbors, Support Vector Machines, and alternative CNN designs). Results demonstrate our proposed DTL-HID framework can identify the ADL performer accurately even on a small amount of labeled data. We demonstrate a case study and discuss how stakeholders can further apply this approach to unobtrusive smart home monitoring for senior citizens. Beyond demonstrating the framework’s practical utility, we discuss two implications of our design principles to mobile analytics and design science research: (1) extracting temporal and axial local dependencies can capture richer information from multi-axial time-series data and (2) transferring knowledge learned on a relevant source domain with suﬃcient data can improve the performance of the desired task on the target domain with scarce data.","2020-04-02","2022-08-17 00:43:00","2022-10-29 20:54:33","2022-08-17 00:43:00","457-483","","2","37","","Journal of Management Information Systems","Human Identification for Activities of Daily Living","","","","","","","en","","","","","DOI.org (Crossref)","","Claim: ""Deep learning's superior performance over classical machine learning suggests that automatically learning feature representations rather than manually engineering features in an ad-hoc fasion enables more effective HID.""","","/Users/abe/Zotero/storage/NQI9T2BC/Zhu et al. - 2020 - Human Identification for Activities of Daily Livin.pdf","","design science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DRQSBMGX","journalArticle","2016","Benjamin, Victor; Zhang, Bin; Nunamaker, Jay F.; Chen, Hsinchun","Examining Hacker Participation Length in Cybercriminal Internet-Relay-Chat Communities","Journal of Management Information Systems","","0742-1222, 1557-928X","10.1080/07421222.2016.1205918","https://www.tandfonline.com/doi/full/10.1080/07421222.2016.1205918","To further cybersecurity, there is interest in studying online cybercriminal communities to learn more about emerging cyber threats. Literature documents the existence of many online Internet Relay Chat (IRC) cybercriminal communities where cybercriminals congregate and share hacking tools, malware, and more. However, many cybercriminal community participants appear unskilled and have fleeting interests, making it difficult to detect potential long-term or key participants. This is a challenge for researchers and practitioners to quickly identify cybercriminals that may provide credible threat intelligence. Thus, we propose a computational approach to analyze cybercriminals IRC communities in order to identify potential long-term and key participants. We use the extended Cox model to scrutinize cybercriminal IRC participation for better understanding of behaviors exhibited by cybercriminals of importance. Results indicate that key cybercriminals may be quickly identifiable by assessing the scale of their interaction and networks with other participants.","2016-04-02","2022-08-22 16:38:43","2022-08-22 16:38:43","2022-08-22 16:38:43","482-510","","2","33","","Journal of Management Information Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/abe/Zotero/storage/WMTI4UFC/Benjamin et al. - 2016 - Examining Hacker Participation Length in Cybercrim.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22BSJAQD","journalArticle","2020","Liu, Yuanyang; Pant, Gautam; Sheng, Olivia R. L.","Predicting Labor Market Competition: Leveraging Interfirm Network and Employee Skills","Information Systems Research","","1047-7047, 1526-5536","10.1287/isre.2020.0954","http://pubsonline.informs.org/doi/10.1287/isre.2020.0954","Human capital is a key component of the knowledge economy that ﬁrms compete for in the labor market. Compared with the product market competition, the identiﬁcation and prediction of labor market competitors have garnered little attention in the literature. In this study, we perform an interﬁrm labor market competitor analysis with a unique longitudinal employer-employee matched data set derived from online proﬁles of 89,943 employees, tracking their careers in 3,467 public ﬁrms from the years 2000 to 2014. Using employee migrations across ﬁrms, we derive and analyze a human capital ﬂow network. We leverage this network to extract global cues about interﬁrm human capital overlap through structural equivalence and community classiﬁcation. The online employee proﬁles also provide rich data on the explicit knowledge base of ﬁrms. In particular, they allow us to represent ﬁrms in the space of the skills possessed by their employees and measure the interﬁrm human capital overlap in terms of similarity in their employees’ skills. We validate our proposed human capital overlap metrics in a predictive analytics framework using future employee migrations as an indicator of labor market competition. The results show that our proposed metrics have superior predictive power over conventional ﬁrm-level economic and human resource measures. We also demonstrate how our proposed metrics and the prediction framework can be incorporated into a comprehensive competitor analysis that includes both product and labor overlap between ﬁrms.","2020-12","2022-08-22 23:02:44","2022-10-21 14:53:05","2022-08-22 23:02:44","1443-1466","","4","31","","Information Systems Research","Predicting Labor Market Competition","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/abe/Zotero/storage/IUPAENCK/Liu et al. - 2020 - Predicting Labor Market Competition Leveraging In.pdf","","design science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AV7FLS7Y","journalArticle","2020","","A Comprehensive Analysis of Triggers and Risk Factors for Asthma Based on Machine Learning and Large Heterogeneous Data Sources","","","","","https://misq.umn.edu/a-comprehensive-analysis-of-triggers-and-risk-factors-for-asthma-based-on-machine-learning-and-large-heterogeneous-data-sources.html","Asthma is a common chronic health condition affecting millions of people in the United States. While asthma cannot be cured, it can be managed if we identify and understand triggers and risk factors that cause asthma exacerbations. However, this is chal","2020","2022-08-22 23:58:56","2022-10-29 21:04:40","2022-08-22 23:58:56","","","","","","","","","","","","","","en","","","","","","","","","/Users/abe/Zotero/storage/XIS3EI2Z/A Comprehensive Analysis of Triggers and Risk Fact.pdf; /Users/abe/Zotero/storage/2PVYFSG6/a-comprehensive-analysis-of-triggers-and-risk-factors-for-asthma-based-on-machine-learning-and-.html","","design science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2IB9NZ9","journalArticle","2014","Meyer, Georg; Adomavicius, Gediminas; Johnson, Paul E.; Elidrisi, Mohamed; Rush, William A.; Sperl-Hillen, JoAnn M.; O'Connor, Patrick J.","A Machine Learning Approach to Improving Dynamic Decision Making","Information Systems Research","","1047-7047, 1526-5536","10.1287/isre.2014.0513","http://pubsonline.informs.org/doi/10.1287/isre.2014.0513","Decision strategies in dynamic environments do not always succeed in producing desired outcomes, particularly in complex, ill-structured domains. Information systems often capture large amounts of data about such environments. We propose a domain-independent, iterative approach that (a) applies data mining classification techniques to the collected data in order to discover the conditions under which dynamic decision-making strategies produce undesired or suboptimal outcomes and (b) uses this information to improve the decision strategy under these conditions. In this paper, we formally develop this approach and illustrate it by providing detailed examples of its application to a chronic disease care problem in a healthcare management organization, specifically the treatment of patients with type 2 diabetes mellitus. In particular, the proposed iterative approach is used to improve treatment strategies by predicting and eliminating treatment failures, i.e., insufficient or excessive treatment actions, based on information that is available in electronic medical record systems. We also apply the proposed approach to a manufacturing task, resulting in substantial decision strategy improvements, which further demonstrates the generality and flexibility of the proposed approach.","2014-06","2022-08-23 04:31:52","2022-08-23 04:31:52","2022-08-23 04:31:52","239-263","","2","25","","Information Systems Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/abe/Zotero/storage/SJ4UYLCV/Meyer et al. - 2014 - A Machine Learning Approach to Improving Dynamic D.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3IINFA2W","journalArticle","2020","Liu, Xiao; Zhang, Bin; Susarlia, Anjana; Padman, Rema","Go to You Tube and Call Me in the Morning: Use of Social Media for Chronic Conditions","MIS Quarterly","","02767783, 21629730","10.25300/MISQ/2020/15107","https://misq.org/go-to-you-tube-and-call-me-in-the-morning-use-of-social-media-for-chronic-conditions.html","Video sharing social media platforms, such as YouTube, offer an effective way to deliver medical information. Few studies have identified evidence-backed digital therapeutics as well as technologyenabled interventions to improve the ease with which patients can retrieve medical information to manage chronic conditions. We propose an interdisciplinary lens that synthesizes deep learning methods with themes emphasized in Information Systems (IS) and Healthcare Informatics (HIS) research to examine user engagement with encoded medical information in YouTube videos. We first use a bidirectional long short-term memory (BLSTM) method to identify medical terms in videos and then classify videos based on whether they encode a high or low degree of medical information. We then employ principal component analysis on aggregate video data to discover three dimensions of collective engagement with videos: non-engagement, selective attention driven engagement, and sustained attention driven engagement. Videos with low medical information result in non-engagement; at the same time, videos with a greater amount of encoded medical information struggle to maintain sustained attention driven engagement. Our study provides healthcare practitioners and policymakers with a nuanced understanding of how users engage with medical information in video format. Our research also contributes to enhancing current public health practices by promoting normative guidelines for educational video content enabling management of chronic conditions.","2020-01-01","2022-08-23 15:42:53","2022-08-23 15:50:09","2022-08-23 15:42:53","257-283","","1","44","","MISQ","Go to You Tube and Call Me in the Morning","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/abe/Zotero/storage/ELZUG353/Liu et al. - 2020 - Go to You Tube and Call Me in the Morning Use of .pdf","","Abe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47XM8JBJ","journalArticle","2017","Shi, Donghui; Guan, Jian; Zurada, Jozef; Manikas, Andrew","A Data-Mining Approach to Identification of Risk Factors in Safety Management Systems","Journal of Management Information Systems","","0742-1222, 1557-928X","10.1080/07421222.2017.1394056","https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1394056","","2017-10-02","2022-08-23 15:55:40","2022-10-27 15:55:01","2022-08-23 15:55:40","1054-1081","","4","34","","Journal of Management Information Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/abe/Zotero/storage/WBVMWW7I/Shi et al. - 2017 - A Data-Mining Approach to Identification of Risk F.pdf","","design science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PY8NPKBA","journalArticle","2021","Siering, Michael; Muntermann, Jan; Grčar, Miha","Design Principles for Robust Fraud Detection: The Case of Stock Market Manipulations","Journal of the Association for Information Systems","","15369323","10.17705/1jais.00657","https://aisel.aisnet.org/jais/vol22/iss1/4/","We address the challenge of building an automated fraud detection system with robust classifiers that mitigate countermeasures from fraudsters in the field of information-based securities fraud. Our work involves developing design principles for robust fraud detection systems and presenting corresponding design features. We adopt an instrumentalist perspective that relies on theory-based linguistic features and ensemble learning concepts as justificatory knowledge for building robust classifiers. We perform a naive evaluation that assesses the classifiers’ performance to identify suspicious stock recommendations, and a robustness evaluation with a simulation that demonstrates a response to fraudster countermeasures. The results indicate that the use of theory-based linguistic features and ensemble learning can significantly increase the robustness of classifiers and contribute to the effectiveness of robust fraud detection. We discuss implications for supervisory authorities, industry, and individual users.","2021-01-15","2022-08-23 16:12:55","2022-10-27 15:54:06","2022-08-23 16:12:55","156-178","","1","22","","JAIS","Design Principles for Robust Fraud Detection","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/abe/Zotero/storage/FG428V3D/Goethe University Frankfurt, Germany et al. - 2021 - Design Principles for Robust Fraud Detection The .pdf","","examine_coefficients; design science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENU2LJIW","journalArticle","2018","Kitchens, Brent; Dobolyi, David; Li, Jingjing; Abbasi, Ahmed","Advanced Customer Analytics: Strategic Value Through Integration of Relationship-Oriented Big Data","Journal of Management Information Systems","","0742-1222, 1557-928X","10.1080/07421222.2018.1451957","https://www.tandfonline.com/doi/full/10.1080/07421222.2018.1451957","As more firms adopt big data analytics to better understand their customers and differentiate their offerings from competitors, it becomes increasingly difficult to generate strategic value from isolated and unfocused ad hoc initiatives. To attain sustainable competitive advantage from big data, firms must achieve agility in combining rich data across the organization to deploy analytics that sense and respond to customers in a dynamic environment. A key challenge in achieving this agility lies in the identification, collection, and integration of data across functional silos both within and outside the organization. Because it is infeasible to systematically integrate all available data, managers need guidance in finding which data can provide valuable and actionable insights about customers. Leveraging relationship marketing theory, we develop a framework for identifying and evaluating various sources of big data in order to create a value-justified data infrastructure that enables focused and agile deployment of advanced customer analytics. Such analytics move beyond siloed transactional customer analytics approaches of the past and incorporate a variety of rich, relationship-oriented constructs to provide actionable and valuable insights. We develop a customized kernel-based learning method to take advantage of these rich constructs and instantiate the framework in a novel prototype system that accurately predicts a variety of customer behaviors in a challenging environment, demonstrating the framework’s ability to drive significant value.","2018-04-03","2022-08-23 19:29:35","2022-10-27 15:49:34","2022-08-23 19:29:35","540-574","","2","35","","Journal of Management Information Systems","Advanced Customer Analytics","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/abe/Zotero/storage/XNYXG6BY/Kitchens et al. - 2018 - Advanced Customer Analytics Strategic Value Throu.pdf","","design science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZC3DDB3F","journalArticle","2018","Dong, Wei; Liao, Shaoyi; Zhang, Zhongju","Leveraging Financial Social Media Data for Corporate Fraud Detection","Journal of Management Information Systems","","0742-1222, 1557-928X","10.1080/07421222.2018.1451954","https://www.tandfonline.com/doi/full/10.1080/07421222.2018.1451954","","2018-04-03","2022-08-23 19:35:27","2022-08-23 19:35:27","2022-08-23 19:35:27","461-487","","2","35","","Journal of Management Information Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/abe/Zotero/storage/ACRD23H4/Dong et al. - 2018 - Leveraging Financial Social Media Data for Corpora.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
